39 32 2 0.005
Wu15 23.624
Wu16 22.643

Wu16    H31       0.9776        -0.48
Wu16    GPS25     0.8801        1.6
H31     GPS25     9.9013        0.95
GPS24   GPS22     0.4682        -0.65
GPS20   GPS27     -0.7704       -0.5
GPS22   GPS20     -0.4381       -0.6
GPS23   GPS21     -0.8746       0.75
GPS27   GPS21     -0.1034       0.18
GPS27   H22       -2.9101       0.25
H22     GPS16     0.3983        -0.65
GPS16   GPS17     -0.6143       0.65
GPS19   GPS20     0.3670        0.95
GPS17   GPS19     3.5289        0.2
GPS17   GPS15     0.8734        1.4
GPS16   GPS14     -0.6026       0.43
H17     GPS15     -0.5250       0.03
H17     GPS12     1.6007        0.08
GPS12   GPS14     -2.9895       1.12
H17     GPS11     0.7891        0.68
GPS24   GPS23     0.0340        1.3
GPS12   GPS10     0.0637        -1.18
H13     GPS08     -0.3832       -0.82
H13     GPS11     -1.9989       1.03
GPS10   GPS08     0.7409        0.2
GPS06   H13       -1.5090       0.4
H8      GPS06     2.8222        1.2
H9      H11       0.4250        0
H11     GPS08     -1.5142       0
H8      H9        2.0200        -0.1
H6      H8        -1.5484       0.1
H5      H6        0.5542        0.1
H7      H9        1.8938        0.7
H4      H7        0.0738        0.9
H4      H5        10.9432       -1.2
H2      H5        0.4660        1.3
H1      H2        -0.0307       1
Wu15    H1        1.0346        -1.9
GPS23   GPS25     -1.5874       0.03
H31     GPS24     1.4552        0.9
